date,HOUST,HOUST_dt,UNRATENSA,UNRATENSA_dt,EMRATIO,EMRATIO_dt,UEMPMED,UEMPMED_dt,UMCSENT,UMCSENT_dt,USSLIND,USSLIND_dt,KCFSI,KCFSI_dt,IPMAN,IPMAN_dt,VIXCLS,VIXCLS_dt,DGS10,DGS10_dt
desc,Housing Starts: Total: New Privately Owned Housing Units Started,,Civilian Unemployment Rate NSA,,Civilian Employment-Population Ratio,,Median Duration of Unemployment,,University of Michigan: Consumer Sentiment,,Leading Index For United States,,Kansas City Financial Stress Index,,Industrial Production: Manufacturing (NAICS),,CBOE Volatility Index: NSA,,10-Year Treasury Constant Maturity Rate,
1/1/1970,,,,,,,,,,,,,,,,,,,,
1/2/1970,,,,,,,,,,,,,,,,,,,,
1/3/1970,,,,,,,,,,,,,,,,,,,,
1/4/1970,,,,,,,,,,,,,,,,,,,,
1/5/1970,,,,,,,,,,,,,,,,,,,,
1/6/1970,,,,,,,,,,,,,,,,,,,,
1/7/1970,,,,,,,,,,,,,,,,,,,,
1/8/1970,,,,,,,,,,,,,,,,,,,,
1/9/1970,,,,,,,,,,,,,,,,,,,,
1/10/1970,,,,,,,,,,,,,,,,,,,,
1/11/1970,,,,,,,,,,,,,,,,,,,,
1/12/1970,,,,,,,,,,,,,,,,,,,,
1/13/1970,,,,,,,,,,,,,,,,,,,,
1/14/1970,,,,,,,,,,,,,,,,,,,,
1/15/1970,,,,,,,,,,,,,,,,,,,,
1/16/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/17/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/18/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/19/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/20/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/21/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/22/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/23/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/24/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/25/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/26/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/27/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/28/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/29/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/30/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
1/31/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/1/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/2/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/3/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/4/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/5/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/6/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/7/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/8/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/9/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/10/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/11/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/12/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/13/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/14/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/15/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/16/1970,1245,12/1/1969,,,,,,,,,,,,,,,,,,
2/17/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/18/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/19/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/20/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/21/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/22/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/23/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/24/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/25/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/26/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/27/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
2/28/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/1/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/2/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/3/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/4/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/5/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/6/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/7/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/8/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/9/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/10/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/11/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/12/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/13/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/14/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/15/1970,1166,1/1/1970,,,,,,,,,,,,,,,,,,
3/16/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/17/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/18/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/19/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/20/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/21/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/22/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/23/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/24/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/25/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/26/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/27/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/28/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/29/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/30/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
3/31/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/1/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/2/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/3/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/4/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/5/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/6/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/7/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/8/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/9/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/10/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/11/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/12/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/13/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/14/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/15/1970,1321,2/1/1970,,,,,,,,,,,,,,,,,,
4/16/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/17/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/18/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/19/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/20/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/21/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/22/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/23/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/24/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/25/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/26/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/27/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/28/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/29/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
4/30/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
5/1/1970,1383,3/1/1970,,,,,,,,,,,,,,,,,,
