Date,Technology (IYW),Basic Materials (IYM),Consumer Goods (IYK),Services (IYC),Healthcare (IYH),Utilities (IDU)
5/19/2000,98.382324,,,,,
5/22/2000,95.020744,,,,,
5/23/2000,97.149742,,,,,
5/24/2000,96.141289,,,,,
5/25/2000,94.796669,,,,,
5/26/2000,94.684608,,,,,
5/30/2000,100.651398,,,,,
5/31/2000,103.284645,,,,,
6/1/2000,105.749802,,,,,
6/2/2000,111.828659,,,,,
6/5/2000,113.061241,,,,,
6/6/2000,111.576523,,,,,
6/7/2000,112.921181,,,,,
6/8/2000,112.697075,,,,,
6/9/2000,114.06971,,,,,
6/12/2000,111.604561,,,,,
6/13/2000,112.500999,,,,,
6/14/2000,111.156349,,,,,
6/15/2000,112.697075,,,,,
6/16/2000,112.87915,,29.423733,,51.203468,
6/19/2000,117.767441,,29.245955,,51.938198,
6/20/2000,118.229675,25.456661,29.245955,,51.431496,38.428226
6/21/2000,119.728394,25.456661,29.245955,,52.254879,38.935253
6/22/2000,116.618919,25.138449,29.245955,,50.72208,38.323326
6/23/2000,113.789597,24.911167,29.245955,,50.848759,38.323326
6/26/2000,114.013733,24.911167,29.023718,,51.380821,38.270893
6/27/2000,113.705521,25.320297,29.090391,,51.849529,37.431698
6/28/2000,114.742065,25.320297,29.090391,51.922245,52.191547,37.466675
6/29/2000,113.271362,25.320297,29.090391,51.922245,52.926296,37.903736
6/30/2000,114.349861,25.320297,29.090391,51.704765,52.495567,36.802292
7/3/2000,115.246254,24.638411,29.090391,51.704765,53.50901,36.802292
7/5/2000,110.00782,24.638411,29.090391,51.704765,54.269089,36.802292
7/6/2000,112.837166,24.638411,29.090391,52.846516,53.965065,37.589046
7/7/2000,115.526382,24.638411,29.090391,54.124199,54.1931,37.973682
7/10/2000,114.083694,24.638411,29.334845,54.124199,54.750469,38.900295
7/11/2000,112.921181,25.956711,28.534809,54.124199,55.409172,38.935253
7/12/2000,116.955078,25.956711,28.534809,54.124199,54.851814,39.092617
7/13/2000,119.8685,25.956711,28.979269,54.124199,52.495567,38.952721
7/14/2000,122.109482,25.865795,29.6682,55.429054,51.469501,38.952721
7/17/2000,123.089958,25.865795,29.6682,55.238747,53.103642,39.407303
7/18/2000,119.672379,25.865795,29.6682,55.238747,52.571598,39.407303
7/19/2000,115.974617,25.842134,29.671568,54.776619,51.609634,39.390499
7/20/2000,118.775925,25.842134,30.316614,54.776619,50.874886,39.390499
7/21/2000,115.918587,25.842134,30.316614,54.776619,51.609634,39.390499
7/24/2000,113.047249,25.842134,30.316614,54.776619,52.496395,39.390499
7/25/2000,114.349861,25.842134,30.316614,54.776619,50.874886,39.390499
7/26/2000,112.192833,25.842134,30.316614,53.444561,50.773548,39.267956
7/27/2000,109.363503,25.842134,30.316614,53.526127,51.774326,39.705635
7/28/2000,104.111015,24.454477,30.316614,52.098934,51.432274,39.390499
7/31/2000,107.822777,24.954948,30.316614,51.867874,50.672199,39.355499
8/1/2000,105.721794,24.954948,30.316614,51.867874,52.521725,39.355499
8/2/2000,104.447197,25.205183,30.316614,51.867874,52.952446,40.773552
8/3/2000,106.674217,25.205183,29.337938,51.867874,53.357845,41.526348
8/4/2000,106.744263,25.205183,29.337938,51.867874,52.876446,41.526348
8/7/2000,110.245934,25.205183,29.337938,51.867874,53.028431,42.489212
8/8/2000,110.960266,25.705643,29.337938,54.695084,53.053791,42.97942
8/9/2000,111.366455,25.705643,29.137768,54.695084,50.266834,42.57674
8/10/2000,108.803261,25.705643,28.982065,54.695084,50.570839,42.410435
8/11/2000,108.270973,25.705643,29.471392,54.695084,51.330944,42.874363
8/14/2000,110.876236,25.705643,29.938494,54.695084,51.229584,43.539623
8/15/2000,111.926743,25.705643,29.938494,54.695084,50.646854,43.574642
8/16/2000,112.500999,25.705643,29.871758,52.737782,51.077591,43.592152
8/17/2000,114.980164,25.705643,29.871758,52.493114,51.533623,44.073593
8/18/2000,115.582436,25.705643,29.871758,52.493114,50.368176,43.99482
8/21/2000,115.442352,26.024115,29.871758,52.465927,51.02692,43.767223
8/22/2000,115.638466,25.705643,29.894016,52.465927,50.824219,43.819748
8/23/2000,117.459305,25.54641,29.582609,52.846516,51.077591,44.449989
8/24/2000,118.341713,25.54641,29.938494,52.656212,51.710976,43.732216
8/25/2000,118.215691,25.54641,29.693823,52.656212,52.065681,43.189507
8/28/2000,120.176582,25.54641,29.60486,52.710579,51.634972,43.99482
8/29/2000,120.568771,25.284798,29.493631,52.710579,50.950886,43.627171
8/30/2000,120.386703,25.284798,29.226727,52.275642,51.280266,43.977295
8/31/2000,122.641785,25.330299,28.959818,51.922245,51.964344,44.64257
9/1/2000,122.977928,25.273426,29.048769,51.922245,51.91367,44.887657
9/5/2000,120.064545,25.705643,29.182255,52.194092,50.507523,45.307827
9/6/2000,116.254761,26.03549,29.182255,52.194092,49.304039,45.815521
9/7/2000,118.944008,24.772959,29.004297,52.221272,50.165474,46.095619
9/8/2000,115.750519,24.545477,29.004297,52.221272,50.279488,46.98848
9/11/2000,111.996758,24.36348,29.004297,53.131958,50.190804,48.126431
9/12/2000,109.811722,24.36348,29.048769,53.077591,50.520176,48.091419
9/13/2000,110.428024,24.36348,29.048769,53.077591,51.02692,48.038887
9/14/2000,111.604561,23.430809,28.759636,53.254292,51.052227,47.688747
9/15/2000,109.405525,23.248827,28.759636,53.064003,50.849564,48.599125
9/18/2000,108.018852,23.248827,28.759636,52.629044,50.266834,48.354015
9/19/2000,112.23481,22.83935,28.759636,51.351383,50.494846,46.46328
9/20/2000,114.06971,22.83935,28.759636,50.916428,50.697536,45.465389
9/21/2000,112.220825,22.065897,28.759636,51.460106,51.837646,44.957691
9/22/2000,108.523125,21.838427,28.759636,50.997978,53.737865,46.183167
9/25/2000,106.618217,21.906668,28.403753,50.997978,53.484512,46.375763
9/26/2000,105.385643,21.906668,28.648413,50.997978,52.876446,47.653748
9/27/2000,103.704857,21.519945,28.603943,50.440689,53.003132,47.95137
9/28/2000,107.556671,22.247887,29.137768,51.215435,53.915218,48.494099
9/29/2000,104.041,22.702864,29.093262,50.617405,54.09259,48.721684
10/2/2000,101.631851,22.56637,29.093262,50.277599,53.028431,49.019283
10/3/2000,97.710022,22.56637,29.093262,50.277599,53.281822,47.977619
10/4/2000,99.152725,22.56637,29.093262,51.378559,52.179707,46.690884
10/5/2000,98.662491,23.658285,30.005215,51.378559,53.585846,45.920574
10/6/2000,95.749077,23.783413,29.72719,51.378559,52.952446,46.375763
10/9/2000,95.721069,23.703794,29.449156,49.8834,52.319054,46.778412
10/10/2000,90.762756,23.976765,29.693823,49.8834,53.737865,47.181076
10/11/2000,89.390099,23.658285,29.271217,48.062069,53.383163,47.146046
10/12/2000,86.672821,23.658285,28.514961,45.697018,53.53516,46.515789
10/13/2000,94.460472,21.883913,28.270288,45.23489,52.876446,46.725872
10/16/2000,93.732117,21.883913,28.759636,46.689262,54.117928,47.251087
10/17/2000,91.827255,21.701927,28.270288,44.963047,54.928661,46.900936
10/18/2000,89.754265,21.64702,27.850368,44.922577,54.484268,46.382172
10/19/2000,97.93409,21.784309,27.850368,44.922577,53.647606,46.188549
10/20/2000,99.334785,21.784309,27.850368,47.36993,54.129333,45.854103
10/23/2000,98.606453,21.830078,27.850368,47.36993,55.409645,46.496586
10/24/2000,96.533463,21.830078,28.876093,48.022564,54.611027,45.977329
10/25/2000,90.314514,22.608084,29.210566,47.424305,55.853352,44.815563
10/26/2000,92.667625,23.065733,29.210566,46.907658,55.980148,44.604343
10/27/2000,92.667625,22.676744,29.678825,47.533089,55.004017,45.229221
10/30/2000,89.866318,24.964996,30.213987,48.75676,54.991337,46.487801
10/31/2000,95.637062,25.262487,30.258566,50.415524,55.244873,46.699013
11/1/2000,94.57254,24.919239,30.459251,50.714645,55.878708,47.420704
11/2/2000,97.541916,24.667519,30.526155,51.204124,56.157593,46.92783
11/3/2000,98.774521,24.530239,30.370062,51.326477,55.90406,46.030121
11/6/2000,97.99015,24.942108,30.726843,50.904991,56.385761,46.470169
11/7/2000,97.93409,25.193827,30.882914,50.877804,56.271702,46.470169
11/8/2000,91.603134,25.559954,30.938677,51.068153,56.994255,46.769432
11/9/2000,90.314514,24.827707,30.481556,48.457645,56.715385,46.751823
11/10/2000,85.16011,24.484476,30.882914,47.505886,56.791416,47.209499
11/13/2000,85.608315,24.85059,30.303171,47.36993,54.433552,46.531792
11/14/2000,89.418106,24.85059,30.503862,48.729588,55.244873,45.9245
11/15/2000,90.874794,25.37689,30.793728,49.083099,55.96743,46.646202
11/16/2000,87.065002,24.484476,30.726843,48.539207,55.194164,46.892647
11/17/2000,87.121017,24.461588,30.749132,48.376057,55.143459,47.684757
11/20/2000,83.311234,24.026817,30.370062,47.342743,55.016701,47.71994
11/21/2000,82.35878,24.14123,30.258566,46.907658,55.422321,47.209499
11/22/2000,79.613495,23.981041,30.124792,46.635731,54.91526,47.068676
11/24/2000,83.367264,23.981041,30.124792,46.853271,54.763165,47.033455
11/27/2000,82.806992,24.186989,29.790314,47.968178,56.537872,47.174286
11/28/2000,78.324936,24.461588,29.96871,47.424305,56.766056,47.561543
11/29/2000,77.316422,24.85059,29.96871,47.478691,57.501324,47.561543
11/30/2000,73.226479,24.621769,30.213987,46.907658,56.563236,46.663803
12/1/2000,74.346985,25.605715,29.946394,47.397125,55.396999,46.470169
12/4/2000,74.290993,26.88715,30.280872,47.206764,56.170261,46.87505
12/5/2000,82.750969,27.093088,30.124792,48.974297,56.309692,46.71661
12/6/2000,79.949661,26.406609,29.85721,48.647991,55.422321,46.663803
12/7/2000,77.932716,25.99473,30.303171,48.104126,55.701218,46.848644
12/8/2000,78.88517,26.337959,30.303171,48.75676,55.980148,47.051067
12/11/2000,85.608315,26.246435,29.790314,48.457645,56.715385,46.769432
12/12/2000,83.479324,26.246435,30.124792,48.919922,56.259003,47.403095
12/13/2000,79.277344,25.926081,30.459251,48.702377,56.968918,47.508724
12/14/2000,76.89621,26.177784,30.503862,48.049744,56.284332,47.139076
12/15/2000,73.562637,26.177784,30.191683,47.614666,56.51252,47.227097
12/18/2000,72.442123,26.177784,29.901806,47.261154,56.411137,47.913578
12/19/2000,69.024498,27.161736,30.303171,46.66291,57.374554,48.371254
12/20/2000,63.870087,26.219326,29.670681,45.131298,56.729145,49.022995
12/21/2000,63.085724,26.9105,29.737749,45.759624,56.399033,48.685741
12/22/2000,69.6408,28.223783,30.050783,46.75679,56.170486,48.845497
12/26/2000,68.464249,28.13162,30.565054,46.551888,57.338608,50.833408
12/27/2000,69.472687,28.661551,30.945147,47.699295,57.871845,50.673656
12/28/2000,69.892921,29.214504,30.922783,48.409588,58.760628,50.851131
12/29/2000,66.839462,28.914963,31.079319,48.682796,58.430531,50.425148
1/2/2001,61.404919,27.624743,30.542692,47.426109,56.881504,48.77449
1/3/2001,72.33004,28.062504,30.006063,49.775562,55.484848,46.538105
1/4/2001,71.937874,28.753685,29.156416,52.125015,52.76778,43.414265
1/5/2001,66.615341,28.200731,29.447084,50.376572,51.853577,43.733746
1/8/2001,66.041138,28.039465,29.715393,49.174522,51.777416,44.150864
1/9/2001,68.072052,27.440428,30.140211,49.966785,52.69157,43.733746
1/10/2001,70.593246,27.16395,30.162575,49.775562,52.437653,43.503017
1/11/2001,72.610214,26.472754,30.028423,51.086876,51.574253,41.81686
1/12/2001,72.94635,26.380589,29.715393,51.879131,52.25988,42.85519
1/16/2001,71.881836,27.186993,30.22966,52.589436,52.970909,42.02985
1/17/2001,74.206955,26.97963,30.006063,52.944588,51.701237,42.384823
1/18/2001,78.605003,26.818361,30.252018,52.507473,52.437653,42.899544
1/19/2001,79.277344,25.896769,29.871904,51.797169,51.498077,43.3344
1/22/2001,77.652588,25.965878,29.961355,52.23428,52.69157,44.230732
1/23/2001,79.725525,26.173239,29.871904,52.835312,52.983601,44.780952
1/24/2001,80.509926,26.173239,30.095501,52.999222,52.615383,45.437675
1/25/2001,76.938255,26.772266,30.408533,53.463646,53.834278,46.200897
1/26/2001,77.316422,26.357555,30.006063,52.726013,53.872391,45.934647
1/29/2001,79.691963,26.210112,29.979246,53.624271,53.549896,46.374825
1/30/2001,79.691963,27.500336,30.408533,53.764145,53.387363,45.721649
1/31/2001,78.347298,27.758387,30.394217,54.245003,53.387363,45.437675
2/1/2001,78.212822,27.905836,30.945147,53.947727,53.631126,44.869701
2/2/2001,74.27755,27.684654,30.802044,52.715099,53.793671,45.466072
2/5/2001,72.789497,27.942694,31.059633,52.741318,53.956184,46.005623
2/6/2001,73.551445,27.574055,31.088249,53.073513,53.753033,45.948833
2/7/2001,71.848251,27.684654,31.445997,53.064781,53.671749,46.431606
2/8/2001,70.010574,27.27914,31.481783,52.260509,53.712383,47.027988
2/9/2001,67.231667,27.352882,31.496084,51.386295,53.956184,47.794769
2/12/2001,67.186844,26.947372,31.660639,52.583954,54.56559,47.453964
2/13/2001,65.887047,27.500336,31.445997,52.671368,53.346718,47.425568
2/14/2001,67.769516,27.316011,30.980923,52.601437,53.184189,47.329006
2/15/2001,70.548401,27.168552,30.873604,52.968616,52.729164,46.573605
2/16/2001,66.245605,27.205421,31.352991,52.461571,52.168468,47.453964
2/20/2001,61.960709,27.360247,31.660639,52.444084,52.168468,47.550518
2/21/2001,60.284386,26.822044,31.25997,50.931698,52.005955,47.436924
2/22/2001,59.163864,27.028486,30.666115,50.21484,51.680912,47.164322
2/23/2001,60.149937,26.438669,30.530161,50.005047,51.437141,46.380524
2/26/2001,60.598148,27.721516,30.472916,51.491188,52.859184,46.90871
2/27/2001,57.191738,27.684654,30.601728,51.001633,52.452877,46.744003
2/28/2001,55.578175,27.905836,30.701878,50.721893,53.021687,46.516811
3/1/2001,57.639946,27.610928,30.587404,49.926376,52.371616,46.800804
3/2/2001,55.219593,28.385044,30.666115,50.267307,52.777916,46.829197
3/5/2001,56.519421,29.011751,30.501556,50.118679,52.534134,47.033657
3/6/2001,59.119057,28.974888,29.986393,51.298874,51.355873,47.056381
3/7/2001,58.984592,29.549955,30.365606,51.456226,50.234501,47.578911
3/8/2001,57.819233,29.970194,30.96661,52.04195,50.843925,47.624348
3/9/2001,53.731541,29.516607,30.844107,51.319572,50.80246,47.438423
3/12/2001,49.841061,28.835869,30.557505,48.73085,48.589767,46.237015
3/13/2001,53.337109,27.733326,29.790884,48.870773,48.809418,45.539055
3/14/2001,52.351048,27.296762,29.411161,47.961239,47.91457,44.64085
3/15/2001,51.275356,26.823198,29.246368,48.669624,47.751869,45.96814
3/16/2001,49.7066,26.719597,29.160385,47.926239,46.39333,45.195789
3/19/2001,51.678741,27.304153,29.303699,48.276058,47.467129,44.909756
3/20/2001,48.630901,27.452158,29.052923,48.144882,46.409603,44.892574
3/21/2001,49.39286,26.586414,28.443909,47.156635,44.823311,44.194622
3/22/2001,51.992481,25.824255,27.605646,46.142124,44.33522,42.23233
3/23/2001,53.247467,25.728073,28.264809,46.658138,45.474083,43.101913
3/26/2001,51.992481,26.386608,28.286299,47.655136,46.385201,44.760994
3/27/2001,53.471592,27.082178,28.966949,48.61713,47.426468,45.624889
3/28/2001,49.21357,26.675203,28.83798,48.101162,47.792538,45.510456
3/29/2001,47.734486,26.534611,28.880972,47.934994,48.199284,45.653484
3/30/2001,47.779293,26.638203,29.196218,48.232334,48.321327,46.671822
4/2/2001,46.076103,26.45322,28.981289,47.488956,46.775673,46.786251
4/3/2001,43.028259,26.031445,28.314945,45.836029,46.124882,46.402935
4/4/2001,42.131844,26.031445,28.479738,45.914745,46.653664,46.053951
4/5/2001,46.793232,27.104378,28.458254,47.707603,47.833218,45.939514
4/6/2001,44.014324,26.823198,28.436739,47.55019,47.833218,44.623703
4/9/2001,44.193604,27.452158,28.730515,47.401489,48.484009,45.853703
4/10/2001,48.496441,28.414085,28.228991,48.529682,48.565361,47.346889
4/11/2001,50.378925,28.155104,27.985369,48.013691,47.467129,47.169544
4/12/2001,51.947674,27.918318,28.035538,48.311039,48.402645,46.700413
4/16/2001,50.011398,28.273489,28.05703,48.415997,48.402645,47.398376
4/17/2001,50.378925,28.192089,28.465418,48.940742,49.948299,48.468208
4/18/2001,55.44371,29.006056,28.343618,52.019222,49.582207,48.313717
4/19/2001,60.194752,28.747055,28.408104,52.325314,49.151066,47.627209
4/20/2001,60.06028,28.628679,28.408104,51.905518,48.484009,47.055088
4/23/2001,56.026382,28.229099,28.372269,51.030933,48.158615,47.981907
4/24/2001,54.861031,28.325298,28.06418,50.418777,47.589153,48.285149
4/25/2001,55.80228,28.354887,28.888132,51.433254,48.728073,48.571178
4/26/2001,54.368004,29.191032,29.024265,52.080429,49.338169,49.200481
4/27/2001,55.936752,29.265028,29.088739,52.465252,49.98896,48.857239
4/30/2001,57.1021,29.250231,29.017107,52.299088,50.517738,49.189037
5/1/2001,58.222614,29.16144,29.812387,53.374794,50.599072,49.028854
5/2/2001,60.194752,29.139238,29.769403,53.567192,50.062172,48.19931
5/3/2001,57.774395,29.265028,29.561605,52.928761,49.622902,47.581432
5/4/2001,59.163864,29.649815,29.633263,52.963745,50.355034,47.838879
5/7/2001,58.49155,29.228037,29.848204,52.946243,50.41198,47.873219
5/8/2001,59.56723,29.279819,29.590267,52.920025,50.233021,47.112328
5/9/2001,57.8013,29.561016,29.726404,52.727596,50.314354,47.810299
5/10/2001,56.922798,30.152973,29.704901,53.540943,49.866947,47.775967
5/11/2001,55.820217,29.450008,29.733564,53.208618,49.460194,48.170708
5/14/2001,55.049286,29.598003,29.661919,53.427258,49.866947,48.6856
5/15/2001,55.667824,29.864391,29.633263,52.998737,49.744911,48.056309
5/16/2001,57.774395,31.632856,30.47154,54.214378,51.57526,48.433884
5/17/2001,58.44672,31.928852,30.163441,54.800335,52.34808,48.19931
5/18/2001,58.49155,31.573658,30.127632,54.826572,51.819317,48.800018
5/21/2001,61.494556,31.980648,29.805208,56.085938,52.266743,49.200481
5/22/2001,61.871056,31.262894,29.869694,56.278362,51.778641,49.200481
5/23/2001,59.612087,30.907715,29.948515,55.360054,50.965149,49.486534
5/24/2001,60.50848,30.160374,30.206434,55.456245,51.00584,49.126137
5/25/2001,59.80032,30.293547,30.020159,55.010231,50.65601,47.98764
5/29/2001,56.429775,30.41935,30.170618,54.266842,51.209194,47.793133
5/30/2001,53.247467,29.879169,30.235088,53.785839,51.046494,47.753067
5/31/2001,54.143906,30.515551,29.984329,54.04821,51.00584,48.285149
6/1/2001,55.219593,30.404539,30.113287,54.04821,51.859997,47.913261
6/4/2001,55.237537,30.604336,30.163441,53.715862,52.494503,47.816021
6/5/2001,58.043327,30.937321,30.213608,54.485497,53.039555,47.055088
6/6/2001,57.460663,30.752319,30.055975,53.890789,52.551456,46.580284
6/7/2001,59.56723,30.670937,29.891195,53.925777,52.681629,45.922359
6/8/2001,57.998508,30.615263,29.794893,53.924911,52.684052,46.507446
6/11/2001,56.295315,30.095743,29.723024,53.907406,51.829063,47.076984
6/12/2001,56.340118,29.925035,29.643976,53.531269,51.6092,47.002205
6/13/2001,54.592117,30.16996,29.715836,53.59251,51.66621,46.058704
6/14/2001,52.216583,29.450035,29.464327,52.866516,51.29977,44.700993
6/15/2001,51.45462,29.049255,29.176853,52.018066,51.503353,45.552456
6/18/2001,50.423748,28.997295,28.896597,52.009319,51.54406,45.448895
6/19/2001,50.423748,29.19768,28.82473,52.193008,51.991924,45.120956
6/20/2001,50.603031,29.390663,28.889408,52.962734,52.806198,45.506401
6/21/2001,51.36499,29.123476,29.356531,54.222294,52.969051,43.901329
6/22/2001,51.09605,28.685581,29.227173,53.163914,50.974079,44.177464
6/25/2001,51.768379,28.514881,29.205605,52.612865,50.566929,44.154461
6/26/2001,52.26141,28.017605,29.248728,52.289207,50.35519,44.194721
6/27/2001,52.530334,28.841444,29.521824,52.350441,50.119068,44.890846
6/28/2001,53.785332,28.841444,29.838013,52.551628,50.689068,45.161236
6/29/2001,55.129967,29.279316,29.651171,53.400085,49.589779,44.994392
7/2/2001,55.08514,29.420359,30.204517,53.35635,50.119068,45.241779
7/3/2001,54.816223,29.205112,29.967358,53.207653,50.03764,45.310825
7/5/2001,53.202648,29.205112,29.802082,52.569107,49.264072,45.960899
7/6/2001,49.975521,28.744967,29.572123,51.274574,48.824371,46.242813
7/9/2001,50.38789,28.997295,29.536192,51.41452,49.825924,46.260063
7/10/2001,48.406799,28.923086,29.399639,50.82848,49.101223,46.731812
7/11/2001,48.855011,28.848866,29.550564,50.889698,48.718506,45.972431
7/12/2001,52.84409,29.309021,29.449953,52.446659,48.042641,45.621483
